类型,key,English,English,English,简体中文,例子,简体中文,例子,简体中文,例子,来源,备注,释义
方块,,Cake,,,蛋糕,,,,,,标准译名列表,,
方块,,Cake With Black Candle,,,插上黑色蜡烛的蛋糕,,,,,,标准译名列表,,
方块,,Cake With Blue Candle,,,插上蓝色蜡烛的蛋糕,,,,,,标准译名列表,,
方块,,Cake With Brown Candle,,,插上棕色蜡烛的蛋糕,,,,,,标准译名列表,,
方块,,Cake With Candle,Candle Cake,,插上蜡烛的蛋糕,,,,,,标准译名列表,,
方块,,Cake With Cyan Candle,,,插上青色蜡烛的蛋糕,,,,,,标准译名列表,,
方块,,Cake With Gray Candle,,,插上灰色蜡烛的蛋糕,,,,,,标准译名列表,,
方块,,Cake With Green Candle,,,插上绿色蜡烛的蛋糕,,,,,,标准译名列表,,
方块,,Cake With Light Blue Candle,,,插上淡蓝色蜡烛的蛋糕,,,,,,标准译名列表,,
方块,,Cake With Light Gray Candle,,,插上淡灰色蜡烛的蛋糕,,,,,,标准译名列表,,
方块,,Cake With Lime Candle,,,插上黄绿色蜡烛的蛋糕,,,,,,标准译名列表,,
方块,,Cake With Magenta Candle,,,插上品红色蜡烛的蛋糕,,,,,,标准译名列表,,
方块,,Cake With Orange Candle,,,插上橙色蜡烛的蛋糕,,,,,,标准译名列表,,
方块,,Cake With Pink Candle,,,插上粉红色蜡烛的蛋糕,,,,,,标准译名列表,,
方块,,Cake With Purple Candle,,,插上紫色蜡烛的蛋糕,,,,,,标准译名列表,,
方块,,Cake With Red Candle,,,插上红色蜡烛的蛋糕,,,,,,标准译名列表,,
方块,,Cake With White Candle,,,插上白色蜡烛的蛋糕,,,,,,标准译名列表,,
方块,,Cake With Yellow Candle,,,插上黄色蜡烛的蛋糕,,,,,,标准译名列表,,
方块,,Calcite,,,方解石,,,,,,标准译名列表,,
方块,,Campfire,,,营火,,,,,,标准译名列表,,
方块,,Carpet,,,地毯,,,,,,标准译名列表,,
方块,,Carrots,,,胡萝卜,,,,,,标准译名列表,,
方块,,Cartography Table,,,制图台,,,,,,标准译名列表,,
方块,,Carved Pumpkin,,,雕刻过的南瓜,,,,,,标准译名列表,,
方块,,Cauldron,,,炼药锅,,,,,,标准译名列表,,
方块,,Cave Air,,,洞穴空气,,,,,,标准译名列表,,
方块,,Cave Vines,,,洞穴藤蔓,,,,,,标准译名列表,,
方块,,Cave Vines Plant,,,洞穴藤蔓植株,,,,,,标准译名列表,,
方块,,Chain,,,锁链,,,,,,标准译名列表,,
方块,,Chain Command Block,,,连锁型命令方块,,,,,,标准译名列表,,
方块,,Chalkboard,,,黑板,,,,,,标准译名列表,,
方块,,Chest,,,箱子,,,,,,标准译名列表,,
方块,,Chipped Anvil,,,开裂的铁砧,,,,,,标准译名列表,,
方块,,Chiseled Deepslate,,,錾制深板岩,,,,,,标准译名列表,,
方块,,Chiseled Nether Bricks,,,錾制下界砖块,,,,,,标准译名列表,,
方块,,Chiseled Polished Blackstone,,,錾制磨制黑石,,,,,,标准译名列表,,
方块,,Chiseled Quartz Block,,,錾制石英块,,,,,,标准译名列表,,
方块,,Chiseled Red Sandstone,,,錾制红砂岩,,,,,,标准译名列表,,
方块,,Chiseled Sandstone,,,錾制砂岩,,,,,,标准译名列表,,
方块,,Chiseled Stone Bricks,,,錾制石砖,,,,,,标准译名列表,,
方块,,Chorus Flower,,,紫颂花,,,,,,标准译名列表,,
方块,,Chorus Plant,,,紫颂植株,,,,,,标准译名列表,,
方块,,Clay,,,黏土块,,,,,,标准译名列表,,
方块,,Coal Ore,,,煤矿石,,,,,,标准译名列表,,
方块,,Coarse Dirt,,,砂土,,,,,,标准译名列表,,
方块,,Cobbled Deepslate,,,深板岩圆石,,,,,,标准译名列表,,
方块,,Cobbled Deepslate Slab,,,深板岩圆石台阶,,,,,,标准译名列表,,
方块,,Cobbled Deepslate Stairs,,,深板岩圆石楼梯,,,,,,标准译名列表,,
方块,,Cobbled Deepslate Wall,,,深板岩圆石墙,,,,,,标准译名列表,,
方块,,Cobblestone,,,圆石,,,,,,标准译名列表,,
方块,,Cobblestone Slab,,,圆石台阶,,,,,,标准译名列表,,
方块,,Cobblestone Stairs,,,圆石楼梯,,,,,,标准译名列表,,
方块,,Cobblestone Wall,,,圆石墙,,,,,,标准译名列表,,
方块,,Cobweb,,,蜘蛛网,,,,,,标准译名列表,,
方块,,Cocoa,,,可可果,,,,,,标准译名列表,,
方块,,Cog,,,齿轮,,,,,,标准译名列表,,
方块,,Colored Terracotta,Dyed Terracotta,,染色陶瓦,,,,,,标准译名列表,,
方块,,Colored Wood Planks,,,染色木板,,,,,,标准译名列表,,
方块,,Command Block,,,命令方块,,,,,,标准译名列表,,
方块,,Composter,,,堆肥桶,,,,,,标准译名列表,,
方块,,Concrete,,,混凝土,,,,,,标准译名列表,,
方块,,Concrete Powder,,,混凝土粉末,,,,,,标准译名列表,,
方块,,Conduit,,,潮涌核心,,,,,,标准译名列表,,
方块,,Copper Ore,,,铜矿石,,,,,,标准译名列表,,
方块,,Coral,,,珊瑚,,,,,,标准译名列表,,
方块,,Coral Block,Coral Blocks,,珊瑚块,,,,,,标准译名列表,,
方块,,Coral Fan,Coral Fans,,珊瑚扇,,,,,,标准译名列表,,
方块,,Cornflower,,,矢车菊,,,,,,标准译名列表,,
方块,,Cracked Deepslate Bricks,,,裂纹深板岩砖,,,,,,标准译名列表,,
方块,,Cracked Deepslate Tiles,,,裂纹深板岩瓦,,,,,,标准译名列表,,
方块,,Cracked Nether Bricks,,,裂纹下界砖块,,,,,,标准译名列表,,
方块,,Cracked Polished Blackstone Bricks,,,裂纹磨制黑石砖,,,,,,标准译名列表,,
方块,,Cracked Stone Bricks,,,裂纹石砖,,,,,,标准译名列表,,
方块,,Crafting Table,,,工作台,,,,,,标准译名列表,,
方块,,Creeper Head,,,苦力怕的头,,,,,,标准译名列表,,
方块,,Creeper Wall Head,,,墙上的苦力怕头颅,,,,,,标准译名列表,,
方块,,Crimson Button,,,绯红木按钮,,,,,,标准译名列表,,
方块,,Crimson Door,,,绯红木门,,,,,,标准译名列表,,
方块,,Crimson Fence,,,绯红木栅栏,,,,,,标准译名列表,,
方块,,Crimson Fence Gate,,,绯红木栅栏门,,,,,,标准译名列表,,
方块,,Crimson Fungus,,,绯红菌,,,,,,标准译名列表,,
方块,,Crimson Hyphae,,,绯红菌核,,,,,,标准译名列表,,
方块,,Crimson Nylium,,,绯红菌岩,,,,,,标准译名列表,,
方块,,Crimson Planks,,,绯红木板,,,,,,标准译名列表,,
方块,,Crimson Pressure Plate,,,绯红木压力板,,,,,,标准译名列表,,
方块,,Crimson Roots,,,绯红菌索,,,,,,标准译名列表,,
方块,,Crimson Sign,,,绯红木告示牌,,,,,,标准译名列表,,
方块,,Crimson Slab,,,绯红木台阶,,,,,,标准译名列表,,
方块,,Crimson Stairs,,,绯红木楼梯,,,,,,标准译名列表,,
方块,,Crimson Stem,,,绯红菌柄,,,,,,标准译名列表,,
方块,,Crimson Trapdoor,,,绯红木活板门,,,,,,标准译名列表,,
方块,,Crimson Wall Sign,,,墙上的绯红木告示牌,,,,,,标准译名列表,,
方块,,Crying Obsidian,,,哭泣的黑曜石,,,,,,标准译名列表,,
方块,,Cut Copper,,,切制铜块,,,,,,标准译名列表,,
方块,,Cut Copper Slab,,,切制铜台阶,,,,,,标准译名列表,,
方块,,Cut Copper Stairs,,,切制铜楼梯,,,,,,标准译名列表,,
方块,,Cut Red Sandstone,,,切制红砂岩,,,,,,标准译名列表,,
方块,,Cut Red Sandstone Slab,,,切制红砂岩台阶,,,,,,标准译名列表,,
方块,,Cut Sandstone,,,切制砂岩,,,,,,标准译名列表,,
方块,,Cut Sandstone Slab,,,切制砂岩台阶,,,,,,标准译名列表,,
方块,,Cyan Flower,,,青花,,,,,,标准译名列表,,
方块,,Cyan Wall Banner,,,墙上的青色旗帜,,,,,,标准译名列表,,
方块,,Damaged Anvil,,,损坏的铁砧,,,,,,标准译名列表,,
方块,,Dandelion,,,蒲公英,,,,,,标准译名列表,,
方块,,Dark Oak Button,,,深色橡木按钮,,,,,,标准译名列表,,
方块,,Dark Oak Door,,,深色橡木门,,,,,,标准译名列表,,
方块,,Dark Oak Fence,,,深色橡木栅栏,,,,,,标准译名列表,,
方块,,Dark Oak Fence Gate,,,深色橡木栅栏门,,,,,,标准译名列表,,
方块,,Dark Oak Leaves,,,深色橡树树叶,,,,,,标准译名列表,,
方块,,Dark Oak Log,,,深色橡木原木,,,,,,标准译名列表,,
方块,,Dark Oak Planks,,,深色橡木木板,,,,,,标准译名列表,,
方块,,Dark Oak Pressure Plate,,,深色橡木压力板,,,,,,标准译名列表,,
方块,,Dark Oak Sapling,,,深色橡树树苗,,,,,,标准译名列表,,
方块,,Dark Oak Sign,,,深色橡木告示牌,,,,,,标准译名列表,,
方块,,Dark Oak Slab,,,深色橡木台阶,,,,,,标准译名列表,,
方块,,Dark Oak Stairs,,,深色橡木楼梯,,,,,,标准译名列表,,
方块,,Dark Oak Trapdoor,,,深色橡木活板门,,,,,,标准译名列表,,
方块,,Dark Oak Wall Sign,,,墙上的深色橡木告示牌,,,,,,标准译名列表,,
方块,,Dark Oak Wood,,,深色橡木,,,,,,标准译名列表,,
方块,,Dark Prismarine,,,暗海晶石,,,,,,标准译名列表,,
方块,,Dark Prismarine Slab,,,暗海晶石台阶,,,,,,标准译名列表,,
方块,,Dark Prismarine Stairs,,,暗海晶石楼梯,,,,,,标准译名列表,,
方块,,Daylight Detector,Daylight Sensor,,阳光探测器,,,,,,标准译名列表,改名前为“传感器”（Sensor）,
方块,,Dead Brain Coral,,,失活的脑纹珊瑚,,,,,,标准译名列表,,
方块,,Dead Brain Coral Block,,,失活的脑纹珊瑚块,,,,,,标准译名列表,,
方块,,Dead Brain Coral Fan,,,失活的脑纹珊瑚扇,,,,,,标准译名列表,,
方块,,Dead Brain Coral Wall Fan,,,墙上的失活脑纹珊瑚扇,,,,,,标准译名列表,,
方块,,Dead Bubble Coral,,,失活的气泡珊瑚,,,,,,标准译名列表,,
方块,,Dead Bubble Coral Block,,,失活的气泡珊瑚块,,,,,,标准译名列表,,
方块,,Dead Bubble Coral Fan,,,失活的气泡珊瑚扇,,,,,,标准译名列表,,
方块,,Dead Bubble Coral Wall Fan,,,墙上的失活气泡珊瑚扇,,,,,,标准译名列表,,
方块,,Dead Bush,,,枯萎的灌木,,,,,,标准译名列表,,
方块,,Dead Coral,,,失活的珊瑚,,,,,,标准译名列表,,
方块,,Dead Coral Blocks,,,失活的珊瑚块,,,,,,标准译名列表,,
方块,,Dead Coral Fans,,,失活的珊瑚扇,,,,,,标准译名列表,,
方块,,Dead Fire Coral,,,失活的火珊瑚,,,,,,标准译名列表,,
方块,,Dead Fire Coral Block,,,失活的火珊瑚块,,,,,,标准译名列表,,
方块,,Dead Fire Coral Fan,,,失活的火珊瑚扇,,,,,,标准译名列表,,
方块,,Dead Fire Coral Wall Fan,,,墙上的失活火珊瑚扇,,,,,,标准译名列表,,
方块,,Dead Horn Coral,,,失活的鹿角珊瑚,,,,,,标准译名列表,,
方块,,Dead Horn Coral Block,,,失活的鹿角珊瑚块,,,,,,标准译名列表,,
方块,,Dead Horn Coral Fan,,,失活的鹿角珊瑚扇,,,,,,标准译名列表,,
方块,,Dead Horn Coral Wall Fan,,,墙上的失活鹿角珊瑚扇,,,,,,标准译名列表,,
方块,,Dead Tube Coral,,,失活的管珊瑚,,,,,,标准译名列表,,
方块,,Dead Tube Coral Block,,,失活的管珊瑚块,,,,,,标准译名列表,,
方块,,Dead Tube Coral Fan,,,失活的管珊瑚扇,,,,,,标准译名列表,,
方块,,Dead Tube Coral Wall Fan,,,墙上的失活管珊瑚扇,,,,,,标准译名列表,,
方块,,Deepslate,,,深板岩,,,,,,标准译名列表,,
方块,,Deepslate Brick Slab,,,深板岩砖台阶,,,,,,标准译名列表,,
方块,,Deepslate Brick Stairs,,,深板岩砖楼梯,,,,,,标准译名列表,,
方块,,Deepslate Brick Wall,,,深板岩砖墙,,,,,,标准译名列表,,
方块,,Deepslate Bricks,,,深板岩砖,,,,,,标准译名列表,,
方块,,Deepslate Coal Ore,,,深层煤矿石,,,,,,标准译名列表,,
方块,,Deepslate Copper Ore,,,深层铜矿石,,,,,,标准译名列表,,
方块,,Deepslate Diamond Ore,,,深层钻石矿石,,,,,,标准译名列表,,
方块,,Deepslate Emerald Ore,,,深层绿宝石矿石,,,,,,标准译名列表,,
方块,,Deepslate Gold Ore,,,深层金矿石,,,,,,标准译名列表,,
方块,,Deepslate Iron Ore,,,深层铁矿石,,,,,,标准译名列表,,
方块,,Deepslate Lapis Lazuli Ore,Deepslate Lapis Ore,,深层青金石矿石,,,,,,标准译名列表,,
方块,,Deepslate Redstone Ore,,,深层红石矿石,,,,,,标准译名列表,,
方块,,Deepslate Tile Slab,,,深板岩瓦台阶,,,,,,标准译名列表,,
方块,,Deepslate Tile Stairs,,,深板岩瓦楼梯,,,,,,标准译名列表,,
方块,,Deepslate Tile Wall,,,深板岩瓦墙,,,,,,标准译名列表,,
方块,,Deepslate Tiles,,,深板岩瓦,,,,,,标准译名列表,,
方块,,Detector Rail,,,探测铁轨,,,,,,标准译名列表,,
方块,,Diamond Ore,,,钻石矿石,,,,,,标准译名列表,,
方块,,Diorite,,,闪长岩,,,,,,标准译名列表,,
方块,,Diorite Bell,,,闪长岩钟,,,,,,标准译名列表,,
方块,,Diorite Slab,,,闪长岩台阶,,,,,,标准译名列表,,
方块,,Diorite Stairs,,,闪长岩楼梯,,,,,,标准译名列表,,
方块,,Diorite Wall,,,闪长岩墙,,,,,,标准译名列表,,
方块,,Dirt,,,泥土,,,,,,标准译名列表,,
方块,,Dirt Path,,,土径,,,,,,标准译名列表,,
方块,,Dispenser,,,发射器,,,,,,标准译名列表,,
方块,,Door,Doors,,门,,,,,,标准译名列表,,
方块,,Dragon Egg,,,龙蛋,,,,,,标准译名列表,,
方块,,Dragon Head,,,龙首,,,,,,标准译名列表,,
方块,,Dragon Wall Head,,,墙上的龙首,,,,,,标准译名列表,,
方块,,Dried Kelp Block,,,干海带块,,,,,,标准译名列表,,
方块,,Dripstone Block,,,滴水石块,,,,,,标准译名列表,,
方块,,Dropper,,,投掷器,,,,,,标准译名列表,,
方块,,Dye,,,染料,,,,,,标准译名列表,,
方块,,Dyed Bed,,,染色床,,,,,,标准译名列表,,
方块,,Dyed Carpet,,,染色地毯,,,,,,标准译名列表,,
方块,,Dyed Shulker Box,,,染色潜影盒,,,,,,标准译名列表,,
方块,,,,,染色陶瓦,,,,,,标准译名列表,,
方块,,Dyed Wool,,,染色羊毛,,,,,,标准译名列表,,
方块,,Emerald Ore,,,绿宝石矿石,,,,,,标准译名列表,,
方块,,Empty Barrel,,,空木桶,,,,,,标准译名列表,,
方块,,Enchanting Table,Enchantment Table,,附魔台,,,,,,标准译名列表,,
方块,,End Gateway,,,末地折跃门,,,,,,标准译名列表,,
方块,,End Portal,,,末地传送门,,,,,,标准译名列表,,
方块,,End Portal Frame,,,末地传送门框架,,,,,,标准译名列表,,
方块,,End Rod,,,末地烛,,,,,,标准译名列表,,
方块,,End Stone,,,末地石,,,,,,标准译名列表,,
方块,,End Stone Brick Slab,,,末地石砖台阶,,,,,,标准译名列表,,
方块,,End Stone Brick Stairs,,,末地石砖楼梯,,,,,,标准译名列表,,
方块,,End Stone Brick Wall,,,末地石砖墙,,,,,,标准译名列表,,
方块,,End Stone Bricks,,,末地石砖,,,,,,标准译名列表,,
方块,,Ender Chest,,,末影箱,,,,,,标准译名列表,,
方块,,Exposed Copper,,,斑驳的铜块,,,,,,标准译名列表,,
方块,,Exposed Cut Copper,,,斑驳的切制铜块,,,,,,标准译名列表,,
方块,,Exposed Cut Copper Slab,,,斑驳的切制铜台阶,,,,,,标准译名列表,,
方块,,Exposed Cut Copper Stairs,,,斑驳的切制铜楼梯,,,,,,标准译名列表,,
方块,,Fake Wood Slab,,,伪木台阶,,,,,,标准译名列表,,
方块,,Farmland,,,耕地,,,,,,标准译名列表,,
方块,,Fence,,,栅栏,,,,,,标准译名列表,,
方块,,Fence Gate,,,栅栏门,,,,,,标准译名列表,,
方块,,Fern,,,蕨,,,,,,标准译名列表,,
方块,,Finished Nether Reactor Core,,,耗尽的下界反应核,,,,,,标准译名列表,,
方块,,Fire,,,火,,,,,,标准译名列表,,
方块,,Fire Coral,,,火珊瑚,,,,,,标准译名列表,,
方块,,Fire Coral Block,,,火珊瑚块,,,,,,标准译名列表,,
方块,,Fire Coral Fan,,,火珊瑚扇,,,,,,标准译名列表,,
方块,,Fire Coral Wall Fan,,,墙上的火珊瑚扇,,,,,,标准译名列表,,
方块,,Fish Barrel,,,鱼木桶,,,,,,标准译名列表,,
方块,,Fletching Table,,,制箭台,,,,,,标准译名列表,,
方块,,Flower,Flowers,,花,,,,,,标准译名列表,,
方块,,Flower Pot,,,花盆,,,,,,标准译名列表,,
方块,,Flowering Azalea,,,盛开的杜鹃花丛,,,,,,标准译名列表,,
方块,,Flowering Azalea Leaves,,,盛开的杜鹃树叶,,,,,,标准译名列表,,
方块,,Frog Spawn,,,青蛙卵,,,,,,标准译名列表,,
方块,,Frosted Ice,,,霜冰,,,,,,标准译名列表,,
方块,,Fungus,Fungi,,菌类,,,,,,标准译名列表,,
方块,,Furnace,,,熔炉,,,,,,标准译名列表,,
方块,,Furniture,,,家具,,,,,,标准译名列表,,
方块,,Gilded Blackstone,,,镶金黑石,,,,,,标准译名列表,,
方块,,Glass,,,玻璃,,,,,,标准译名列表,,
方块,,Glass Pane,,,玻璃板,,,,,,标准译名列表,,
方块,,Glazed Terracotta,,,带釉陶瓦,,,,,,标准译名列表,,
方块,,Glow Lichen,,,发光地衣,,,,,,标准译名列表,,
方块,,Glowstone,,,荧石,,,,,,标准译名列表,,
方块,,Gold Ore,,,金矿石,,,,,,标准译名列表,,
方块,,Granite,,,花岗岩,,,,,,标准译名列表,,
方块,,Granite Bell,,,花岗岩钟,,,,,,标准译名列表,,
方块,,Granite Slab,,,花岗岩台阶,,,,,,标准译名列表,,
方块,,Granite Stairs,,,花岗岩楼梯,,,,,,标准译名列表,,
方块,,Granite Wall,,,花岗岩墙,,,,,,标准译名列表,,
方块,,Grass,,,草,,,,,,标准译名列表,,
方块,,Grass Block,,,草方块,,,,,,标准译名列表,,
方块,,Grass Path,,,草径,,,,,,标准译名列表,,
方块,,Gravel,,,沙砾,,,,,,标准译名列表,,
方块,,Gray Wall Banner,,,墙上的灰色旗帜,,,,,,标准译名列表,,
方块,,Green Wall Banner,,,墙上的绿色旗帜,,,,,,标准译名列表,,
方块,,Grindstone,,,砂轮,,,,,,标准译名列表,,
方块,,Hanging Roots,,,垂根,,,,,,标准译名列表,,
方块,,Hay Bale,,,干草块,,,,,,标准译名列表,,
方块,,Head,Mob Head,,生物头颅,,,,,,标准译名列表,,
方块,,Heavy Weighted Pressure Plate,,,重质测重压力板,,,,,,标准译名列表,,
方块,,Honey Block,,,蜂蜜块,,,,,,标准译名列表,,
方块,,Honeycomb Block,,,蜜脾块,,,,,,标准译名列表,,
方块,,Hopper,,,漏斗,,,,,,标准译名列表,,
方块,,Horn Coral,,,鹿角珊瑚,,,,,,标准译名列表,,
方块,,Horn Coral Block,,,鹿角珊瑚块,,,,,,标准译名列表,,
方块,,Horn Coral Fan,,,鹿角珊瑚扇,,,,,,标准译名列表,,
方块,,Horn Coral Wall Fan,,,墙上的鹿角珊瑚扇,,,,,,标准译名列表,,
方块,,Huge Brown Mushroom,,,棕色巨型蘑菇,,,,,,标准译名列表,,
方块,,Huge Mushrooms,,,巨型蘑菇,,,,,,标准译名列表,,
方块,,Huge Red Mushroom,,,红色巨型蘑菇,,,,,,标准译名列表,,
方块,,Hyphae,,,菌核,,,,,,标准译名列表,,
方块,,Ice,,,冰,,,,,,标准译名列表,,
方块,,Impulse Command Block,,,脉冲型命令方块,,,,,,标准译名列表,,
方块,,Infested Block,,,被虫蚀的方块,,,,,,标准译名列表,,
方块,,Infested Chiseled Stone Bricks,,,被虫蚀的錾制石砖,,,,,,标准译名列表,,
方块,,Infested Cobblestone,,,被虫蚀的圆石,,,,,,标准译名列表,,
方块,,Infested Cracked Stone Bricks,,,被虫蚀的裂纹石砖,,,,,,标准译名列表,,
方块,,Infested Deepslate,,,被虫蚀的深板岩,,,,,,标准译名列表,,
方块,,Infested Mossy Stone Bricks,,,被虫蚀的苔石砖,,,,,,标准译名列表,,
方块,,Infested Stone,,,被虫蚀的石头,,,,,,标准译名列表,,
方块,,Infested Stone Bricks,,,被虫蚀的石砖,,,,,,标准译名列表,,
方块,,Initialized Nether Reactor Core,,,激活的下界反应核,,,,,,标准译名列表,,
方块,,Inverted Daylight Detector,Inverted Daylight Sensor,,反向阳光探测器,,,,,,标准译名列表,改名前为“传感器”（Sensor）,
方块,,Iron Bars,,,铁栏杆,,,,,,标准译名列表,,
方块,,Iron Door,,,铁门,,,,,,标准译名列表,,
方块,,Iron Ore,,,铁矿石,,,,,,标准译名列表,,
方块,,Iron Trapdoor,,,铁活板门,,,,,,标准译名列表,,
方块,,Jack O'lantern,,,南瓜灯,,,,,,标准译名列表,,
方块,,Jigsaw Block,,,拼图方块,,,,,,标准译名列表,,
方块,,Jukebox,,,唱片机,,,,,,标准译名列表,,
方块,,Jungle Button,,,丛林木按钮,,,,,,标准译名列表,,
方块,,Jungle Door,,,丛林木门,,,,,,标准译名列表,,
方块,,Jungle Fence,,,丛林木栅栏,,,,,,标准译名列表,,
方块,,Jungle Fence Gate,,,丛林木栅栏门,,,,,,标准译名列表,,
方块,,Jungle Leaves,,,丛林树叶,,,,,,标准译名列表,,
方块,,Jungle Log,,,丛林原木,,,,,,标准译名列表,,
方块,,Jungle Planks,,,丛林木板,,,,,,标准译名列表,,
方块,,Jungle Pressure Plate,,,丛林木压力板,,,,,,标准译名列表,,
方块,,Jungle Sapling,,,丛林树苗,,,,,,标准译名列表,,
方块,,Jungle Sign,,,丛林木告示牌,,,,,,标准译名列表,,
方块,,Jungle Slab,,,丛林木台阶,,,,,,标准译名列表,,
方块,,Jungle Stairs,,,丛林木楼梯,,,,,,标准译名列表,,
方块,,Jungle Trapdoor,,,丛林木活板门,,,,,,标准译名列表,,
方块,,Jungle Wall Sign,,,墙上的丛林木告示牌,,,,,,标准译名列表,,
方块,,Jungle Wood,,,丛林木,,,,,,标准译名列表,,
方块,,Kelp Plant,,,海带植株,,,,,,标准译名列表,,
方块,,Ladder,,,梯子,,,,,,标准译名列表,,
方块,,Lantern,,,灯笼,,,,,,标准译名列表,,
方块,,Lapis Lazuli Block,,,青金石块,,,,,,标准译名列表,,
方块,,Lapis Lazuli Ore,,,青金石矿石,,,,,,标准译名列表,,
方块,,Large Amethyst Bud,,,大型紫晶芽,,,,,,标准译名列表,,
方块,,Large Fern,,,大型蕨,,,,,,标准译名列表,,
方块,,Lava,,,熔岩,,,,,,标准译名列表,,
方块,,Lava Cauldron,,,装有熔岩的炼药锅,,,,,,标准译名列表,,
方块,,Leaves,,,树叶,,,,,,标准译名列表,,
方块,,Lectern,,,讲台,,,,,,标准译名列表,,
方块,,Lever,,,拉杆,,,,,,标准译名列表,,
方块,,Light,,,光,,,,,,标准译名列表,,
方块,,Light 0,,,光,,,,,,标准译名列表,,
方块,,Light 1,,,光,,,,,,标准译名列表,,
方块,,Light 10,,,光,,,,,,标准译名列表,,
方块,,Light 11,,,光,,,,,,标准译名列表,,
方块,,Light 12,,,光,,,,,,标准译名列表,,
方块,,Light 13,,,光,,,,,,标准译名列表,,
方块,,Light 14,,,光,,,,,,标准译名列表,,
方块,,Light 15,,,光,,,,,,标准译名列表,,
方块,,Light 2,,,光,,,,,,标准译名列表,,
方块,,Light 3,,,光,,,,,,标准译名列表,,
方块,,Light 4,,,光,,,,,,标准译名列表,,
方块,,Light 5,,,光,,,,,,标准译名列表,,
方块,,Light 6,,,光,,,,,,标准译名列表,,
方块,,Light 7,,,光,,,,,,标准译名列表,,
方块,,Light 8,,,光,,,,,,标准译名列表,,
方块,,Light 9,,,光,,,,,,标准译名列表,,
方块,,Light Blue Wall Banner,,,墙上的淡蓝色旗帜,,,,,,标准译名列表,,
方块,,Light Gray Wall Banner,,,墙上的淡灰色旗帜,,,,,,标准译名列表,,
方块,,Light Negative,,,光,,,,,,标准译名列表,,
方块,,Light Weighted Pressure Plate,,,轻质测重压力板,,,,,,标准译名列表,,
方块,,Lightning Rod,,,避雷针,,,,,,标准译名列表,,
方块,,Lilac,,,丁香,,,,,,标准译名列表,,
方块,,Lily of The Valley,,,铃兰,,,,,,标准译名列表,,
方块,,Lily Pad,,,睡莲,,,,,,标准译名列表,,
方块,,Lime Wall Banner,,,墙上的黄绿色旗帜,,,,,,标准译名列表,,
方块,,Lit Blast Furnace,,,燃烧中的高炉,,,,,,标准译名列表,,
方块,,Lit Deepslate Redstone Ore,,,点亮的深层红石矿石,,,,,,标准译名列表,,
方块,,Lit Furnace,,,燃烧中的熔炉,,,,,,标准译名列表,,
方块,,Lit Redstone Lamp,,,点亮的红石灯,,,,,,标准译名列表,,
方块,,Lit Redstone Ore,,,点亮的红石矿石,,,,,,标准译名列表,,
方块,,Lit Smoker,,,燃烧中的烟熏炉,,,,,,标准译名列表,,
方块,,Locked Chest,,,上锁的箱子,,,,,,标准译名列表,,
方块,,Lodestone,,,磁石,,,,,,标准译名列表,,
方块,,Log,,,原木,,,,,,标准译名列表,,
方块,,Loom,,,织布机,,,,,,标准译名列表,,
方块,,Magenta Wall Banner,,,墙上的品红色旗帜,,,,,,标准译名列表,,
方块,,Magma Block,,,岩浆块,,,,,,标准译名列表,,
方块,,Medium Amethyst Bud,,,中型紫晶芽,,,,,,标准译名列表,,
方块,,Melon,,,西瓜,,,,,,标准译名列表,,
方块,,Melon Stem,,,西瓜茎,,,,,,标准译名列表,,
方块,,Moss Block,,,苔藓块,,,,,,标准译名列表,,
方块,,Moss Carpet,,,苔藓地毯,,,,,,标准译名列表,,
方块,,Mossy Cobblestone,Moss Stone,,苔石,,,,,,标准译名列表,,
方块,,Mossy Cobblestone Slab,,,苔石台阶,,,,,,标准译名列表,,
方块,,Mossy Cobblestone Stairs,,,苔石楼梯,,,,,,标准译名列表,,
方块,,Mossy Cobblestone Wall,,,苔石墙,,,,,,标准译名列表,,
方块,,Mossy Stone Brick Slab,,,苔石砖台阶,,,,,,标准译名列表,,
方块,,Mossy Stone Brick Stairs,,,苔石砖楼梯,,,,,,标准译名列表,,
方块,,Mossy Stone Brick Wall,,,苔石砖墙,,,,,,标准译名列表,,
方块,,Mossy Stone Bricks,,,苔石砖,,,,,,标准译名列表,,
方块,,Moving Block,,,移动的方块,,,,,,标准译名列表,,
方块,,Moving Piston,,,移动的活塞,,,,,,标准译名列表,,
方块,,Mushroom,,,蘑菇,,,,,,标准译名列表,,
方块,,Mushroom Block,,,蘑菇方块,,,,,,标准译名列表,,
方块,,Mushroom Stem,,,蘑菇柄,,,,,,标准译名列表,,
方块,,Mycelium,,,菌丝,,,,,,标准译名列表,,
方块,,Nether Brick Fence,,,下界砖栅栏,,,,,,标准译名列表,,
方块,,Nether Brick Slab,,,下界砖台阶,,,,,,标准译名列表,,
方块,,Nether Brick Stairs,,,下界砖楼梯,,,,,,标准译名列表,,
方块,,Nether Brick Wall,,,下界砖墙,,,,,,标准译名列表,,
方块,,Nether Bricks,,,下界砖块,,,,,,标准译名列表,,
方块,,Nether Gold Ore,,,下界金矿石,,,,,,标准译名列表,,
方块,,Nether Planks,,,下界木板,,,,,,标准译名列表,,
方块,,Nether Portal,,,下界传送门,,,,,,标准译名列表,,
方块,,Nether Quartz Ore,,,下界石英矿石,,,,,,标准译名列表,,
方块,,Nether Sprouts,,,下界苗,,,,,,标准译名列表,,
