Key,English,简体中文
commands.title.show.subtitle.single,Showing new subtitle for %s,正在向%s显示新的副标题
commands.title.show.title.multiple,Showing new title for %s players,正在向%s名玩家显示新的标题
commands.title.show.title.single,Showing new title for %s,正在向%s显示新的标题
commands.title.times.multiple,Changed title display times for %s players,已更改%s名玩家的标题显示时间
commands.title.times.single,Changed title display times for %s,已更改%s的标题显示时间
commands.trigger.add.success,Triggered %s (added %s to value),已触发%s（数值已增加%s）
commands.trigger.failed.invalid,You can only trigger objectives that are 'trigger' type,你只能触发'trigger'类型的记分项
commands.trigger.failed.unprimed,You cannot trigger this objective yet,你尚无法触发这个记分项
commands.trigger.set.success,Triggered %s (set value to %s),已触发%s（数值已设为%s）
commands.trigger.simple.success,Triggered %s,已触发%s
commands.weather.set.clear,Set the weather to clear,天气已设为晴天
commands.weather.set.rain,Set the weather to rain,天气已设为雨天
commands.weather.set.thunder,Set the weather to rain & thunder,天气已设为雷雨
commands.whitelist.add.failed,Player is already whitelisted,玩家已在白名单内
commands.whitelist.add.success,Added %s to the whitelist,已将%s加入白名单
commands.whitelist.alreadyOff,Whitelist is already turned off,白名单原已关闭
commands.whitelist.alreadyOn,Whitelist is already turned on,白名单原已开启
commands.whitelist.disabled,Whitelist is now turned off,白名单已关闭
commands.whitelist.enabled,Whitelist is now turned on,白名单已开启
commands.whitelist.list,There are %s whitelisted players: %s,白名单中共有%s名玩家：%s
commands.whitelist.none,There are no whitelisted players,白名单中没有玩家
commands.whitelist.reloaded,Reloaded the whitelist,已重新读取白名单
commands.whitelist.remove.failed,Player is not whitelisted,玩家不在白名单内
commands.whitelist.remove.success,Removed %s from the whitelist,已将%s移出白名单
commands.worldborder.center.failed,Nothing changed. The world border is already centered there,无变化，世界边界中心点已经在该处
commands.worldborder.center.success,"Set the center of the world border to %s, %s","已将世界边界的中心设为%s, %s"
commands.worldborder.damage.amount.failed,Nothing changed. The world border damage is already that amount,无变化，世界边界伤害已经是此值
commands.worldborder.damage.amount.success,Set the world border damage to %s per block each second,已将世界边界的伤害设置为%s每秒每个方块
commands.worldborder.damage.buffer.failed,Nothing changed. The world border damage buffer is already that distance,无变化，世界边界伤害缓冲区已经是此距离
commands.worldborder.damage.buffer.success,Set the world border damage buffer to %s blocks,已将世界边界伤害缓冲区设置为%s个方块
commands.worldborder.get,The world border is currently %s blocks wide,当前的世界边界宽度为%s个方块
commands.worldborder.set.failed.big,World border cannot be bigger than %s blocks wide,世界边界的宽度不能大于%s格
commands.worldborder.set.failed.far,World border cannot be further out than %s blocks,世界边界的位置不能远于%s格
commands.worldborder.set.failed.nochange,Nothing changed. The world border is already that size,无变化，世界边界已经是此大小
commands.worldborder.set.failed.small,World border cannot be smaller than 1 block wide,世界边界的宽度不能小于1格
commands.worldborder.set.grow,Growing the world border to %s blocks wide over %s seconds,正在将世界边界的宽度扩大为%s个方块，时间%s秒
commands.worldborder.set.immediate,Set the world border to %s blocks wide,已将世界边界的宽度设为%s
commands.worldborder.set.shrink,Shrinking the world border to %s blocks wide over %s seconds,正在将世界边界的宽度缩小为%s个方块，时间%s秒
commands.worldborder.warning.distance.failed,Nothing changed. The world border warning is already that distance,无变化，世界边界伤害警告区已经是此距离
commands.worldborder.warning.distance.success,Set the world border warning distance to %s blocks,已将世界边界警告距离设置为%s个方块
commands.worldborder.warning.time.failed,Nothing changed. The world border warning is already that amount of time,无变化，世界边界警告时间已经是此时长
commands.worldborder.warning.time.success,Set the world border warning time to %s seconds,已将世界边界警告时间设置为%s秒
compliance.playtime.greaterThan24Hours,You've been playing for greater than 24 hours,你的游戏时长已超过24小时
compliance.playtime.hours,You've been playing for %s hour(s),你的游戏时长已达%s小时
compliance.playtime.message,Excessive gaming may interfere with normal daily life,适度游戏益脑，沉迷游戏伤身
connect.aborted,Aborted,连接中断
connect.authorizing,Logging in...,登录中…
connect.connecting,Connecting to the server...,正在连接到服务器…
connect.encrypting,Encrypting...,通讯加密中…
connect.failed,Failed to connect to the server,无法连接至服务器
connect.joining,Joining world...,加入世界中…
connect.negotiating,Negotiating...,连接协商中…
container.barrel,Barrel,木桶
container.beacon,Beacon,信标
container.blast_furnace,Blast Furnace,高炉
container.brewing,Brewing Stand,酿造台
container.cartography_table,Cartography Table,制图台
container.chest,Chest,箱子
container.chestDouble,Large Chest,大型箱子
container.crafting,Crafting,合成
container.creative,Item Selection,物品选栏
container.dispenser,Dispenser,发射器
container.dropper,Dropper,投掷器
container.enchant,Enchant,附魔
container.enchant.clue,%s . . . ?,%s…？
container.enchant.lapis.many,%s Lapis Lazuli,花费：%s颗青金石
container.enchant.lapis.one,1 Lapis Lazuli,花费：1颗青金石
container.enchant.level.many,%s Enchantment Levels,+ %s级经验
container.enchant.level.one,1 Enchantment Level,+ 1级经验
container.enchant.level.requirement,Level Requirement: %s,等级要求：%s
container.enderchest,Ender Chest,末影箱
container.furnace,Furnace,熔炉
container.grindstone_title,Repair & Disenchant,修复和祛魔
container.hopper,Item Hopper,漏斗
container.inventory,Inventory,物品栏
container.isLocked,%s is locked!,%s已被上锁！
container.lectern,Lectern,讲台
container.loom,Loom,织布机
container.repair,Repair & Name,修复和命名
container.repair.cost,Enchantment Cost: %1$s,附魔花费：%1$s
container.repair.expensive,Too Expensive!,过于昂贵！
container.shulkerBox,Shulker Box,潜影盒
container.shulkerBox.more,and %s more...,还有%s项未显示…
container.smoker,Smoker,烟熏炉
container.spectatorCantOpen,Unable to open. Loot not generated yet.,无法打开：战利品尚未生成。
container.stonecutter,Stonecutter,切石机
container.upgrade,Upgrade Gear,升级装备
controls.keybinds,Key Binds...,按键绑定…
controls.keybinds.title,Key Binds,按键绑定
controls.reset,Reset,重置
controls.resetAll,Reset Keys,重置按键
controls.title,Controls,按键控制
createWorld.customize.buffet.biome,Please select a biome,请选择一种生物群系
createWorld.customize.buffet.title,Buffet world customization,自定义自选世界
createWorld.customize.custom.baseSize,Depth Base Size,基准深度大小
createWorld.customize.custom.biomeDepthOffset,Biome Depth Offset,生物群系深度补偿
createWorld.customize.custom.biomeDepthWeight,Biome Depth Weight,生物群系深度比重
createWorld.customize.custom.biomeScaleOffset,Biome Scale Offset,生物群系规模补偿
createWorld.customize.custom.biomeScaleWeight,Biome Scale Weight,生物群系规模比重
createWorld.customize.custom.biomeSize,Biome Size,生物群系规模
createWorld.customize.custom.center,Center Height,中心高度
createWorld.customize.custom.confirm1,This will overwrite your current,这将覆盖你的当前
createWorld.customize.custom.confirm2,settings and cannot be undone.,设置且不能恢复。
createWorld.customize.custom.confirmTitle,Warning!,警告！
createWorld.customize.custom.coordinateScale,Coordinate Scale,平面比例
createWorld.customize.custom.count,Spawn Tries,生成尝试次数
createWorld.customize.custom.defaults,Defaults,默认
createWorld.customize.custom.depthNoiseScaleExponent,Depth Noise Exponent,高度差异指数
createWorld.customize.custom.depthNoiseScaleX,Depth Noise Scale X,X轴高度差异值
createWorld.customize.custom.depthNoiseScaleZ,Depth Noise Scale Z,Z轴高度差异值
createWorld.customize.custom.dungeonChance,Dungeon Count,地牢数量
createWorld.customize.custom.fixedBiome,Biome,生物群系
createWorld.customize.custom.heightScale,Height Scale,高度比例
createWorld.customize.custom.lavaLakeChance,Lava Lake Rarity,熔岩湖密度
createWorld.customize.custom.lowerLimitScale,Lower Limit Scale,规模下限
createWorld.customize.custom.mainNoiseScaleX,Main Noise Scale X,主地形差异值 X
createWorld.customize.custom.mainNoiseScaleY,Main Noise Scale Y,主地形差异值 Y
createWorld.customize.custom.mainNoiseScaleZ,Main Noise Scale Z,主地形差异值 Z
createWorld.customize.custom.maxHeight,Max. Height,最高高度
createWorld.customize.custom.minHeight,Min. Height,最低高度
createWorld.customize.custom.next,Next Page,下一页
createWorld.customize.custom.page0,Basic Settings,基本设置
createWorld.customize.custom.page1,Ore Settings,矿物设置
createWorld.customize.custom.page2,Advanced Settings (Expert Users Only!),高级设置（仅限高级用户！）
createWorld.customize.custom.page3,Extra Advanced Settings (Expert Users Only!),额外高级设置（仅限高级用户！）
createWorld.customize.custom.preset.caveChaos,Caves of Chaos,混沌洞穴
createWorld.customize.custom.preset.caveDelight,Caver's Delight,探洞者的喜悦
createWorld.customize.custom.preset.drought,Drought,旱地
createWorld.customize.custom.preset.goodLuck,Good Luck,祝你好运
createWorld.customize.custom.preset.isleLand,Isle Land,空岛
createWorld.customize.custom.preset.mountains,Mountain Madness,山脉狂魔
createWorld.customize.custom.preset.waterWorld,Water World,水世界
createWorld.customize.custom.presets,Presets,预设
createWorld.customize.custom.presets.title,Customize World Presets,自定义世界预设
createWorld.customize.custom.prev,Previous Page,上一页
createWorld.customize.custom.randomize,Randomize,随机
createWorld.customize.custom.riverSize,River Size,河的规模
createWorld.customize.custom.seaLevel,Sea Level,海平面
createWorld.customize.custom.size,Spawn Size,生成规模
createWorld.customize.custom.spread,Spread Height,扩散高度
createWorld.customize.custom.stretchY,Height Stretch,高度伸展
createWorld.customize.custom.upperLimitScale,Upper Limit Scale,规模上限
createWorld.customize.custom.useCaves,Caves,洞穴
createWorld.customize.custom.useDungeons,Dungeons,地牢
createWorld.customize.custom.useLavaLakes,Lava Lakes,熔岩湖
createWorld.customize.custom.useLavaOceans,Lava Oceans,熔岩海
createWorld.customize.custom.useMansions,Woodland Mansions,林地府邸
createWorld.customize.custom.useMineShafts,Mineshafts,废弃矿井
createWorld.customize.custom.useMonuments,Ocean Monuments,海底神殿
createWorld.customize.custom.useOceanRuins,Ocean Ruins,海底废墟
createWorld.customize.custom.useRavines,Ravines,峡谷
createWorld.customize.custom.useStrongholds,Strongholds,要塞
createWorld.customize.custom.useTemples,Temples,神殿
createWorld.customize.custom.useVillages,Villages,村庄
createWorld.customize.custom.useWaterLakes,Water Lakes,湖泊
createWorld.customize.custom.waterLakeChance,Water Lake Rarity,湖泊密度
createWorld.customize.flat.height,Height,高度
createWorld.customize.flat.layer,%s,%s
createWorld.customize.flat.layer.bottom,Bottom - %s,底层 - %s
createWorld.customize.flat.layer.top,Top - %s,顶层 - %s
createWorld.customize.flat.removeLayer,Remove Layer,移除层面
createWorld.customize.flat.tile,Layer Material,此层的材料
createWorld.customize.flat.title,Superflat Customization,自定义超平坦世界
createWorld.customize.preset.bottomless_pit,Bottomless Pit,无底深渊
createWorld.customize.preset.classic_flat,Classic Flat,经典平坦
createWorld.customize.preset.desert,Desert,沙漠
createWorld.customize.preset.overworld,Overworld,主世界
createWorld.customize.preset.redstone_ready,Redstone Ready,红石俱备
createWorld.customize.preset.snowy_kingdom,Snowy Kingdom,雪之王国
createWorld.customize.preset.the_void,The Void,虚空
createWorld.customize.preset.tunnelers_dream,Tunnelers' Dream,挖掘工的梦想
createWorld.customize.preset.water_world,Water World,水世界
createWorld.customize.presets,Presets,预设
createWorld.customize.presets.list,"Alternatively, here's some we made earlier!",另外，这里是些我们早期制作好的！
createWorld.customize.presets.select,Use Preset,使用预设
createWorld.customize.presets.share,Want to share your preset with someone? Use the box below!,想要与别人分享你的预设方案吗？使用下面的输入框吧！
createWorld.customize.presets.title,Select a Preset,选择一种预设
createWorld.preparing,Preparing for world creation...,正在准备生成世界…
dataPack.title,Select Data Packs,选择数据包
dataPack.validation.back,Go Back,返回
dataPack.validation.failed,Data pack validation failed!,数据包验证失败！
dataPack.validation.reset,Reset to Default,重置为默认
dataPack.validation.working,Validating selected data packs...,正在验证已选的数据包…
dataPack.vanilla.description,The default data for Minecraft,Minecraft的默认数据包
datapackFailure.safeMode,Safe Mode,安全模式
datapackFailure.title,"Errors in currently selected datapacks prevented the world from loading.
You can either try to load it with only the vanilla data pack (""safe mode""), or go back to the title screen and fix it manually.","当前选中的数据包中出现了错误，导致世界无法加载。
你可以尝试仅加载原版数据包（“安全模式”）或回到标题屏幕手动修复该问题。"
death.attack.anvil,%1$s was squashed by a falling anvil,%1$s被坠落的铁砧压扁了
death.attack.anvil.player,%1$s was squashed by a falling anvil whilst fighting %2$s,%1$s在与%2$s战斗时被掉落的铁砧砸扁了
death.attack.arrow,%1$s was shot by %2$s,%1$s被%2$s射杀
death.attack.arrow.item,%1$s was shot by %2$s using %3$s,%1$s被%2$s用%3$s射杀
death.attack.badRespawnPoint.link,Intentional Game Design,刻意的游戏设计
death.attack.badRespawnPoint.message,%1$s was killed by %2$s,%1$s被%2$s杀死了
death.attack.cactus,%1$s was pricked to death,%1$s被戳死了
death.attack.cactus.player,%1$s walked into a cactus whilst trying to escape %2$s,%1$s在试图逃离%2$s时撞上了仙人掌
death.attack.cramming,%1$s was squished too much,%1$s因被过度挤压而死
death.attack.cramming.player,%1$s was squashed by %2$s,%1$s被%2$s砸死了
death.attack.dragonBreath,%1$s was roasted in dragon breath,%1$s被龙之吐息所烤焦
death.attack.dragonBreath.player,%1$s was roasted in dragon breath by %2$s,%1$s被%2$s的龙息烤熟了
death.attack.drown,%1$s drowned,%1$s淹死了
death.attack.drown.player,%1$s drowned whilst trying to escape %2$s,%1$s在试图逃离%2$s时淹死了
death.attack.dryout,%1$s died from dehydration,%1$s因脱水而死
death.attack.dryout.player,%1$s died from dehydration whilst trying to escape %2$s,%1$s在试图逃离%2$s时因脱水而死
death.attack.even_more_magic,%1$s was killed by even more magic,%1$s被不为人知的魔法杀死了
death.attack.explosion,%1$s blew up,%1$s爆炸了
death.attack.explosion.player,%1$s was blown up by %2$s,%1$s被%2$s炸死了
death.attack.explosion.player.item,%1$s was blown up by %2$s using %3$s,%1$s被%2$s用%3$s炸死了
death.attack.fall,%1$s hit the ground too hard,%1$s落地过猛
death.attack.fall.player,%1$s hit the ground too hard whilst trying to escape %2$s,%1$s在逃离%2$s时落地过猛
death.attack.fallingBlock,%1$s was squashed by a falling block,%1$s被坠落的方块压扁了
death.attack.fallingBlock.player,%1$s was squashed by a falling block whilst fighting %2$s,%1$s在与%2$s战斗时被掉落的方块砸扁了
death.attack.fallingStalactite,%1$s was skewered by a falling stalactite,%1$s被坠落的钟乳石刺穿了
death.attack.fallingStalactite.player,%1$s was skewered by a falling stalactite whilst fighting %2$s,%1$s在与%2$s战斗时被坠落的钟乳石刺穿了
death.attack.fireball,%1$s was fireballed by %2$s,%1$s被%2$s用火球烧死了
death.attack.fireball.item,%1$s was fireballed by %2$s using %3$s,%1$s被%2$s用%3$s发射的火球烧死了
death.attack.fireworks,%1$s went off with a bang,%1$s随着一声巨响消失了
death.attack.fireworks.item,%1$s went off with a bang due to a firework fired from %3$s by %2$s,%1$s随着%2$s用%3$s发射的烟花发出的巨响消失了
death.attack.fireworks.player,%1$s went off with a bang whilst fighting %2$s,%1$s在与%2$s战斗时随着一声巨响中消失了
death.attack.flyIntoWall,%1$s experienced kinetic energy,%1$s感受到了动能
death.attack.flyIntoWall.player,%1$s experienced kinetic energy whilst trying to escape %2$s,%1$s在试图逃离%2$s时感受到了动能
death.attack.freeze,%1$s froze to death,%1$s被冻死了
death.attack.freeze.player,%1$s was frozen to death by %2$s,%1$s被%2$s冻死了
death.attack.generic,%1$s died,%1$s死了
death.attack.generic.player,%1$s died because of %2$s,%1$s死于%2$s
death.attack.hotFloor,%1$s discovered the floor was lava,%1$s发现了地板是熔岩做的
death.attack.hotFloor.player,%1$s walked into danger zone due to %2$s,%1$s因%2$s而步入危险之地
death.attack.indirectMagic,%1$s was killed by %2$s using magic,%1$s被%2$s使用的魔法杀死了
death.attack.indirectMagic.item,%1$s was killed by %2$s using %3$s,%1$s被%2$s用%3$s杀死了
death.attack.inFire,%1$s went up in flames,%1$s浴火焚身
death.attack.inFire.player,%1$s walked into fire whilst fighting %2$s,%1$s在与%2$s战斗时不慎走入了火中
death.attack.inWall,%1$s suffocated in a wall,%1$s在墙里窒息而亡
death.attack.inWall.player,%1$s suffocated in a wall whilst fighting %2$s,%1$s在与%2$s战斗时窒息而亡
death.attack.lava,%1$s tried to swim in lava,%1$s试图在熔岩里游泳
death.attack.lava.player,%1$s tried to swim in lava to escape %2$s,%1$s在逃离%2$s时试图在熔岩里游泳
death.attack.lightningBolt,%1$s was struck by lightning,%1$s被闪电击中
death.attack.lightningBolt.player,%1$s was struck by lightning whilst fighting %2$s,%1$s在与%2$s战斗时被闪电击中
death.attack.magic,%1$s was killed by magic,%1$s被魔法杀死了
death.attack.magic.player,%1$s was killed by magic whilst trying to escape %2$s,%1$s在试图逃离%2$s时被魔法杀死了
death.attack.message_too_long,"Actually, message was too long to deliver fully. Sorry! Here's stripped version: %s",抱歉！消息太长，无法完整显示。截断后的消息：%s
death.attack.mob,%1$s was slain by %2$s,%1$s被%2$s杀死了
death.attack.mob.item,%1$s was slain by %2$s using %3$s,%1$s被%2$s用%3$s杀死了
death.attack.onFire,%1$s burned to death,%1$s被烧死了
death.attack.onFire.player,%1$s was burnt to a crisp whilst fighting %2$s,%1$s在试图与%2$s战斗时被烤得酥脆
death.attack.outOfWorld,%1$s fell out of the world,%1$s掉出了这个世界
death.attack.outOfWorld.player,%1$s didn't want to live in the same world as %2$s,%1$s与%2$s不共戴天
death.attack.player,%1$s was slain by %2$s,%1$s被%2$s杀死了
death.attack.player.item,%1$s was slain by %2$s using %3$s,%1$s被%2$s用%3$s杀死了
death.attack.stalagmite,%1$s was impaled on a stalagmite,%1$s被石笋刺穿了
death.attack.stalagmite.player,%1$s was impaled on a stalagmite whilst fighting %2$s,%1$s在与%2$s战斗时被石笋刺穿了
death.attack.starve,%1$s starved to death,%1$s饿死了
death.attack.starve.player,%1$s starved to death whilst fighting %2$s,%1$s在与%2$s战斗时饿死了
death.attack.sting,%1$s was stung to death,%1$s被蛰死了
death.attack.sting.player,%1$s was stung to death by %2$s,%1$s被%2$s蛰死了
death.attack.sweetBerryBush,%1$s was poked to death by a sweet berry bush,%1$s被甜浆果丛刺死了
death.attack.sweetBerryBush.player,%1$s was poked to death by a sweet berry bush whilst trying to escape %2$s,%1$s在试图逃离%2$s时被甜浆果丛刺死了
death.attack.thorns,%1$s was killed trying to hurt %2$s,%1$s在试图伤害%2$s时被杀
death.attack.thorns.item,%1$s was killed by %3$s trying to hurt %2$s,%1$s在试图伤害%2$s时被%3$s杀死
death.attack.thrown,%1$s was pummeled by %2$s,%1$s被%2$s给砸死了
death.attack.thrown.item,%1$s was pummeled by %2$s using %3$s,%1$s被%2$s用%3$s给砸死了
death.attack.trident,%1$s was impaled by %2$s,%1$s被%2$s刺穿了
death.attack.trident.item,%1$s was impaled by %2$s with %3$s,%1$s被%2$s用%3$s刺穿了
death.attack.wither,%1$s withered away,%1$s凋零了
death.attack.wither.player,%1$s withered away whilst fighting %2$s,%1$s在与%2$s战斗时凋零了
death.attack.witherSkull,%1$s was shot by a skull from %2$s,%1$s被%2$s发射的头颅射中了
death.fell.accident.generic,%1$s fell from a high place,%1$s从高处摔了下来
death.fell.accident.ladder,%1$s fell off a ladder,%1$s从梯子上摔了下来
death.fell.accident.other_climbable,%1$s fell while climbing,%1$s在攀爬时摔了下来
death.fell.accident.scaffolding,%1$s fell off scaffolding,%1$s从脚手架上摔了下来
death.fell.accident.twisting_vines,%1$s fell off some twisting vines,%1$s从缠怨藤上摔了下来
death.fell.accident.vines,%1$s fell off some vines,%1$s从藤蔓上摔了下来
death.fell.accident.weeping_vines,%1$s fell off some weeping vines,%1$s从垂泪藤上摔了下来
death.fell.assist,%1$s was doomed to fall by %2$s,%1$s因为%2$s注定要摔死
death.fell.assist.item,%1$s was doomed to fall by %2$s using %3$s,%1$s因为%2$s使用了%3$s注定要摔死
death.fell.finish,%1$s fell too far and was finished by %2$s,%1$s摔伤得太重并被%2$s完结了生命
death.fell.finish.item,%1$s fell too far and was finished by %2$s using %3$s,%1$s摔伤得太重并被%2$s用%3$s完结了生命
death.fell.killer,%1$s was doomed to fall,%1$s注定要摔死
deathScreen.quit.confirm,Are you sure you want to quit?,你确定要退出吗？
deathScreen.respawn,Respawn,重生
deathScreen.score,Score,分数
deathScreen.spectate,Spectate World,旁观世界
deathScreen.title,You Died!,你死了！
deathScreen.title.hardcore,Game Over!,游戏结束！
deathScreen.titleScreen,Title Screen,标题屏幕
debug.advanced_tooltips.help,F3 + H = Advanced tooltips,F3 + H = 显示高级提示框
debug.advanced_tooltips.off,Advanced tooltips: hidden,高级提示框：隐藏
debug.advanced_tooltips.on,Advanced tooltips: shown,高级提示框：显示
debug.chunk_boundaries.help,F3 + G = Show chunk boundaries,F3 + G = 显示区块边界
debug.chunk_boundaries.off,Chunk borders: hidden,区块边界：隐藏
debug.chunk_boundaries.on,Chunk borders: shown,区块边界：显示
debug.clear_chat.help,F3 + D = Clear chat,F3 + D = 清空聊天记录
debug.copy_location.help,"F3 + C = Copy location as /tp command, hold F3 + C to crash the game",F3 + C = 用/tp命令的形式复制你的位置，按住F3 + C使游戏崩溃
debug.copy_location.message,Copied location to clipboard,坐标已复制到剪贴板
debug.crash.message,F3 + C is held down. This will crash the game unless released.,F3 + C已被按下。除非释放按键否则这将让游戏崩溃。
debug.crash.warning,Crashing in %s...,在%s秒后崩溃…
debug.creative_spectator.error,Unable to switch gamemode; no permission,你没有切换游戏模式的权限
debug.creative_spectator.help,F3 + N = Cycle previous gamemode <-> spectator,F3 + N = 在上一个模式和旁观模式间切换
debug.cycle_renderdistance.help,F3 + F = Cycle render distance (shift to invert),F3 + F = 在渲染距离间循环（按Shift来反向循环）
debug.cycle_renderdistance.message,Render Distance: %s,渲染距离：%s
debug.gamemodes.error,Unable to open game mode switcher; no permission,你没有权限打开游戏模式切换器
debug.gamemodes.help,F3 + F4 = Open game mode switcher,F3 + F4 = 打开游戏模式切换器
debug.gamemodes.press_f4,[ F4 ],[ F4 ]
debug.gamemodes.select_next,%s Next,%s 下一个
debug.help.help,F3 + Q = Show this list,F3 + Q = 显示此列表
debug.help.message,Key bindings:,按键设置：
debug.inspect.client.block,Copied client-side block data to clipboard,客户端方块数据已复制到剪贴板
debug.inspect.client.entity,Copied client-side entity data to clipboard,客户端实体数据已复制到剪贴板
debug.inspect.help,F3 + I = Copy entity or block data to clipboard,F3 + I = 将实体或方块的数据复制到剪贴板
debug.inspect.server.block,Copied server-side block data to clipboard,服务端方块数据已复制到剪贴板
debug.inspect.server.entity,Copied server-side entity data to clipboard,服务端实体数据已复制到剪贴板
debug.pause.help,F3 + Esc = Pause without pause menu (if pausing is possible),F3 + Esc = 暂停但不显示菜单（如果可以暂停的话）
debug.pause_focus.help,F3 + P = Pause on lost focus,F3 + P = 失去焦点时暂停
debug.pause_focus.off,Pause on lost focus: disabled,失去焦点时暂停：停用
debug.pause_focus.on,Pause on lost focus: enabled,失去焦点时暂停：启用
debug.prefix,[Debug]:,[调试]：
debug.profiling.help,F3 + L = Start/stop profiling,F3 + L = 开始/停止分析
debug.profiling.start,Profiling started for %s seconds. Use F3 + L to stop early,分析已启动%s秒。使用F3 + L以提前结束
debug.profiling.stop,Profiling ended. Saved results to %s,分析已结束。结果已保存至%s
debug.reload_chunks.help,F3 + A = Reload chunks,F3 + A = 重新加载区块
debug.reload_chunks.message,Reloading all chunks,重新加载所有区块中
debug.reload_resourcepacks.help,F3 + T = Reload resource packs,F3 + T = 重新加载资源包
debug.reload_resourcepacks.message,Reloaded resource packs,已重新加载资源包
debug.show_hitboxes.help,F3 + B = Show hitboxes,F3 + B = 显示碰撞体积
debug.show_hitboxes.off,Hitboxes: hidden,判定箱：隐藏
debug.show_hitboxes.on,Hitboxes: shown,判定箱：显示
demo.day.1,This demo will last five game days. Do your best!,此试玩版会在5个游戏日后结束，尽力而为吧！
demo.day.2,Day Two,第二天
demo.day.3,Day Three,第三天
demo.day.4,Day Four,第四天
demo.day.5,This is your last day!,这是你游戏内的最后一天！
demo.day.6,You have passed your fifth day. Use %s to save a screenshot of your creation.,你已经度过了5天的试玩时间，按下%s来为你的成果截图留念。
demo.day.warning,Your time is almost up!,你的试玩时间即将结束！
demo.demoExpired,Demo time's up!,试玩的时间结束了！
demo.help.buy,Purchase Now!,即刻购买！
demo.help.fullWrapped,This demo will last 5 in-game days (about 1 hour and 40 minutes of real time). Check the advancements for hints! Have fun!,这个试玩将会持续游戏内5天的时间（现实时间大约为1小时40分钟）。查看进度来获得提示！祝你玩得开心！
demo.help.inventory,Use the %1$s key to open your inventory,按%1$s来打开你的物品栏
demo.help.jump,Jump by pressing the %1$s key,按%1$s来跳跃
demo.help.later,Continue Playing!,继续游戏！
demo.help.movement,"Use the %1$s, %2$s, %3$s, %4$s keys and the mouse to move around",按%1$s，%2$s，%3$s，%4$s以及鼠标来移动
demo.help.movementMouse,Look around using the mouse,使用鼠标来查看四周
demo.help.movementShort,"Move by pressing the %1$s, %2$s, %3$s, %4$s keys",通过按下%1$s，%2$s，%3$s，%4$s来移动
demo.help.title,Minecraft Demo Mode,Minecraft试玩模式
demo.remainingTime,Remaining time: %s,剩余时间：%s
demo.reminder,The demo time has expired. Buy the game to continue or start a new world!,试玩时间已经结束，请购买游戏来继续或开始一个新的世界！
difficulty.lock.question,"Are you sure you want to lock the difficulty of this world? This will set this world to always be %1$s, and you will never be able to change that again.",你确定你要锁定这个世界的难度吗？这会将这个世界的难度锁定为%1$s，并且永远无法再次改变难度。
difficulty.lock.title,Lock World Difficulty,锁定世界难度
disconnect.closed,Connection closed,连接已关闭
disconnect.disconnected,Disconnected by Server,被服务器中断连接
disconnect.endOfStream,End of stream,数据流终止
disconnect.exceeded_packet_rate,Kicked for exceeding packet rate limit,由于超出封包速率限制而被踢出游戏
disconnect.genericReason,%s,%s
disconnect.kicked,Was kicked from the game,你已被踢出游戏
disconnect.loginFailed,Failed to log in,登录失败
disconnect.loginFailedInfo,Failed to log in: %s,登录失败：%s
disconnect.loginFailedInfo.insufficientPrivileges,Multiplayer is disabled. Please check your Microsoft account settings.,多人游戏已被禁用，请检查你的Microsoft账户设置。
disconnect.loginFailedInfo.invalidSession,Invalid session (Try restarting your game and the launcher),无效会话（请尝试重启游戏及启动器）
disconnect.loginFailedInfo.serversUnavailable,The authentication servers are currently not reachable. Please try again.,暂时无法连接到身份验证服务器，请稍后再试。
disconnect.lost,Connection Lost,连接已丢失
disconnect.overflow,Buffer overflow,缓冲区溢出
disconnect.quitting,Quitting,退出
disconnect.spam,Kicked for spamming,由于滥发消息而被踢出游戏
disconnect.timeout,Timed out,连接超时
disconnect.unknownHost,Unknown host,未知的主机
editGamerule.default,Default: %s,默认：%s
editGamerule.title,Edit Game Rules,编辑游戏规则
effect.effectNotFound,Unknown effect: %s,未知的效果：%s
effect.minecraft.absorption,Absorption,伤害吸收
effect.minecraft.bad_omen,Bad Omen,不祥之兆
effect.minecraft.blindness,Blindness,失明
effect.minecraft.conduit_power,Conduit Power,潮涌能量
effect.minecraft.dolphins_grace,Dolphin's Grace,海豚的恩惠
effect.minecraft.fire_resistance,Fire Resistance,防火
effect.minecraft.glowing,Glowing,发光
effect.minecraft.haste,Haste,急迫
effect.minecraft.health_boost,Health Boost,生命提升
effect.minecraft.hero_of_the_village,Hero of the Village,村庄英雄
effect.minecraft.hunger,Hunger,饥饿
effect.minecraft.instant_damage,Instant Damage,瞬间伤害
effect.minecraft.instant_health,Instant Health,瞬间治疗
effect.minecraft.invisibility,Invisibility,隐身
effect.minecraft.jump_boost,Jump Boost,跳跃提升
effect.minecraft.levitation,Levitation,飘浮
effect.minecraft.luck,Luck,幸运
effect.minecraft.mining_fatigue,Mining Fatigue,挖掘疲劳
effect.minecraft.nausea,Nausea,反胃
effect.minecraft.night_vision,Night Vision,夜视
effect.minecraft.poison,Poison,中毒
effect.minecraft.regeneration,Regeneration,生命恢复
effect.minecraft.resistance,Resistance,抗性提升
effect.minecraft.saturation,Saturation,饱和
effect.minecraft.slow_falling,Slow Falling,缓降
effect.minecraft.slowness,Slowness,缓慢
effect.minecraft.speed,Speed,速度
effect.minecraft.strength,Strength,力量
effect.minecraft.unluck,Bad Luck,霉运
